Layer,Term,Source,Records,Records near a node word,Status
Conversation analysis (interaction-as-object),coherence,Sidnell & Stivers (2012),8,5,"Excluded — response fluency/quality, not sequential coherence"
Conversation analysis (interaction-as-object),next turn,Sidnell & Stivers (2012),4,1,"Excluded — system's next action step, not the CA next turn"
Conversation analysis (interaction-as-object),overlap,Sidnell & Stivers (2012),4,0,"Excluded — data/feature overlap, not turn overlap"
Conversation analysis (interaction-as-object),action formation,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),adjacency pair,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),adjacency pairs,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),dispreferred,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),first pair part,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),first-pair part,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),insert expansion,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),intersubjectivity,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),membership categorisation,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),membership categorization,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),next-speaker selection,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),nextness,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),other-initiated repair,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),other-repair,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),overall structural organization,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),post-expansion,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),pre-expansion,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),pre-sequence,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),preference organisation,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),preference organization,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),progressivity,Sidnell & Stivers (2012),0,0,Validated (ambiguous; concordance-checked)
Conversation analysis (interaction-as-object),projectability,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),recipiency,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),recipient design,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),repair,Sidnell & Stivers (2012),0,0,Validated (ambiguous; concordance-checked)
Conversation analysis (interaction-as-object),repair initiation,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),second pair part,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),second-pair part,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),self-initiated repair,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),self-repair,Sidnell & Stivers (2012),0,0,Validated
Conversation analysis (interaction-as-object),sequence expansion,Sidnell & Stivers (2012),0,0,Validated
