left,hit,right,title
en conversational recommendation systems influence consumer ,trust,", with attention to decision-making styles and interface typ",Editorial Introduction: Innovations for smart and sustainable retailing
 guidelines for CRS confidence signals associated with each ,trust,"-related metric: desire to use, perceived transparency, perc","""I Think You Might Like This"": Exploring Effects of Confidence Signal Patterns o"
"ity traits, trust propensity, and domain knowledge, on user ",trust," in two types of text-based CRSs, i.e., user-initiative and ",Impacts of Personal Characteristics on User Trust in Conversational Recommender 
i-turn conversations to find items they enjoy. For users to ,trust," an agent and give effective feedback, the recommender syste",Self-Supervised Bot Play for Transcript-Free Conversational Recommendation with 
"on in their explanations, ultimately damaging the long-term ",trust," between users and the CRS. To address this, we propose a si",Beyond Persuasion: Towards Conversational Recommender System with Credible Expla
"ns and improving the system's efficiency, transparency, and ",trustworthiness,". In the conversational environment, multiple contextualized",Towards Explainable Conversational Recommender Systems
Impacts of Personal Characteristics on User ,Trust, in Conversational Recommender Systems. Conversational recom,Impacts of Personal Characteristics on User Trust in Conversational Recommender 
 or multiple target items. This assumption can lead to over-,trusting," user feedback, treating accepts/rejects as definitive signa",Vague Preference Policy Learning for Conversational Recommendation
"oth for and against a recommendation, so as to enhance user ",trust," in a conversational recommendation system. To do so, we dev",Generating explanations for knowledge-aware conversational recommendation system
onal requirements-based explanation is able to improve user ,trust, in recommended products by 30% for novice users and 17% for,Computational model for generating interactions in conversational recommender sy
"nd why particular items are recommended, leading to reduced ",trust,", lower engagement, and less effective decision-making. At t","Segment, Recommend, and Explain: Advancing Conversational Recommender Systems wi"
developing user simulators that are both more realistic and ,trustworthy,. The advent of Large Language Models (LLMs) has demonstrate,"A LLM-based Controllable, Scalable, Human-Involved User Simulator Framework for "
r systems because to be successful these systems must build ,trust, with their users. This often means helping users to underst,Critiquing with confidence
"ence in several factors such as Transparency, Scrutability, ",Trustworthiness,", Effectiveness, Persuasiveness, Efficiency, and Satisfactio",Music Recommendation Using Conversational Recommender System with Explanation Fa
"factors, e.g., perceived usefulness, perceived ease of use, ",trust, and perceived enjoyment associated to user's intention to a,Factors influencing user's adoption of conversational recommender system based o
tions exert a more significant impact on tourism consumers’ ,trust," and acceptance compared to content-based recommendations, w",Do word-of-mouth-based conversational AI recommendations enhance tourism consume
propensity and domain knowledge positively influenced their ,trust," in CRSs, and that users with high conscientiousness tended ",Impacts of Personal Characteristics on User Trust in Conversational Recommender 
" that the user desires, enhancing the user's experience and ",trust," in the system. However, current CRS studies more often uses",Multi-Round Conversational Recommendation System Based on Negative Feedback Corr
rative Verification Model for Ensuring the Authenticity and ,Trustworthiness, of Digital Heritage: A Case Study of France's Patrimoine Nu,22nd International Conference on Distributed Computing and Artificial Intelligen
"system-initiated) influenced users' perceptions of control, ",trustworthiness,", and the risk of using the platform. The study assessed how",Don't Take it Personally: Resistance to Individually Targeted Recommendations fr
ional patterns: ChatGPT emphasizes affective engagement and ,trust,"-building, while Gemini adopts a more direct and efficiency-",Strategic Conversations: LLMs Argumentation and User Perception in Movie Recomme
"nsparency and interpretability, thereby increasing consumer ",trust, in conversational recommendations. In text-based interfaces,Tailoring explanations in conversational recommendations: The impact of decision
"""justifications on users' perceptions of explainability and ",trust,. We developed and tested a movie-recommendation chatbot tha,Why or Why Not? The Effect of Justification Styles on Chatbot Recommendations
rsonalized explanations alongside recommendations increases ,trust," and perceived quality. Furthermore, it gives users an oppor",Fast multi-step critiquing for VAE-based recommender systems
s directly in the filter component increases acceptance and ,trust," in the system. Also, the combination of a conversational ad",Knowledge Graph-Based Integration of Conversational Advisors and Faceted Filteri
ed that providing explanations can improve transparency and ,trust,", which are critical for the adoption of RS. Their interacti",Why or Why Not? The Effect of Justification Styles on Chatbot Recommendations
f a U-Net-Based Non-contact Fiber Heritage Analysis System; ,Trustworthy, AI-Based Conversational Recommender Agent: A Gender Innovat,22nd International Conference on Distributed Computing and Artificial Intelligen
" acceptance compared to content-based recommendations, with ",trust, also serving a mediating role. This impact is further ampli,Do word-of-mouth-based conversational AI recommendations enhance tourism consume
r systems because to be successful these systems must build ,trust, with their users. This often means helping users to underst,Critiquing with confidence
"media and e-commerce. Like in human communication, building ",trust, in human-agent communication is essential given its signifi,Impacts of Personal Characteristics on User Trust in Conversational Recommender 
ur between-subjects user study (N=148) revealed that users' ,trust, propensity and domain knowledge positively influenced their,Impacts of Personal Characteristics on User Trust in Conversational Recommender 
 in conversational recommendation systems can increase user ,trust, and satisfaction and help system designers fine-tune and im,A Brief Survey of Offline Explainability Metrics for Conversational Recommender 
and user interfaces. Explainability is crucial for building ,trust," in traditional recommendation systems, yet its role in conv",Tailoring explanations in conversational recommendations: The impact of decision
sed collaborative filtering; and learning to recommend with ,trust, and distrust relationships.,RecSys'09 - Proceedings of the 3rd ACM Conference on Recommender Systems
,Trustworthy, AI-Based Conversational Recommender Agent: A Gender Innovat,Trustworthy AI-Based Conversational Recommender Agent: A Gender Innovation Appro
s to gender-related information. The chatbot adheres to key ,Trustworthy," AI principles, ensuring transparency, fairness, and safety ",Trustworthy AI-Based Conversational Recommender Agent: A Gender Innovation Appro
"e This"": Exploring Effects of Confidence Signal Patterns on ",Trust, in and Reliance on Conversational Recommender Systems. With,"""I Think You Might Like This"": Exploring Effects of Confidence Signal Patterns o"
