record,year,band,node,collocate,register,title
10.1007/s10462-005-9004-8,2005,Origins (<=2017),conversational,model,instrumental,Conversational collaborative recommendation - An experimental analysis
10.1007/s10462-005-9004-8,2005,Origins (<=2017),interaction,feedback,instrumental,Conversational collaborative recommendation - An experimental analysis
10.1109/EEE.2005.75,2005,Origins (<=2017),conversational,feature,instrumental,Feature selection methods for conversational recommence systems
10.1109/EEE.2005.75,2005,Origins (<=2017),interaction,simulate,instrumental,Feature selection methods for conversational recommence systems
10.1109/EEE.2005.75,2005,Origins (<=2017),interaction,model,instrumental,Feature selection methods for conversational recommence systems
10.1007/s10462-005-9013-7,2005,Origins (<=2017),conversational,feedback,instrumental,Generating diverse compound critiques
10.1016/j.knosys.2004.10.005,2005,Origins (<=2017),conversational,feature,instrumental,Incremental critiquing
Using recommendation summaries for retrieval in conversation,2005,Origins (<=2017),conversational,feedback,instrumental,Using recommendation summaries for retrieval in conversational recommenders
10.2753/JEC1086-4415110202,2006,Origins (<=2017),conversational,preference,instrumental,Adaptive selection: An analysis of critiquing and preference-based feedback in c
10.2753/JEC1086-4415110202,2006,Origins (<=2017),conversational,feedback,instrumental,Adaptive selection: An analysis of critiquing and preference-based feedback in c
10.1109/ICSC.2009.44,2009,Origins (<=2017),dialogue,model,instrumental,Ontology-based natural language processing for in-store shopping situations
10.1109/ICSC.2009.44,2009,Origins (<=2017),conversational,model,instrumental,Ontology-based natural language processing for in-store shopping situations
10.1109/ICTAI.2010.91,2010,Origins (<=2017),conversational,preference,instrumental,Comparing approaches to preference dominance for conversational recommenders
10.1109/ICTAI.2010.91,2010,Origins (<=2017),conversational,preference,instrumental,Comparing approaches to preference dominance for conversational recommenders
10.1109/ICTAI.2010.91,2010,Origins (<=2017),conversational,query,instrumental,Comparing approaches to preference dominance for conversational recommenders
10.1142/S021821301100036X,2011,Origins (<=2017),conversational,preference,instrumental,Preference dominance reasoning for conversational recommender systems: A compari
10.1142/S021821301100036X,2011,Origins (<=2017),conversational,preference,instrumental,Preference dominance reasoning for conversational recommender systems: A compari
10.1142/S021821301100036X,2011,Origins (<=2017),conversational,query,instrumental,Preference dominance reasoning for conversational recommender systems: A compari
10.3233/978-1-61499-320-9-273,2013,Origins (<=2017),conversational,feedback,instrumental,An approach to couple two forms of feedback in conversational recommenders
10.3233/978-1-61499-320-9-273,2013,Origins (<=2017),conversational,feedback,instrumental,An approach to couple two forms of feedback in conversational recommenders
10.3233/978-1-61499-320-9-273,2013,Origins (<=2017),conversational,feedback,instrumental,An approach to couple two forms of feedback in conversational recommenders
10.1145/2505515.2507893,2013,Origins (<=2017),interaction,feedback,instrumental,Flexible and dynamic compromises for effective recommendations
10.1145/2505515.2507893,2013,Origins (<=2017),interaction,feedback,instrumental,Flexible and dynamic compromises for effective recommendations
10.1145/2505515.2507893,2013,Origins (<=2017),interaction,query,instrumental,Flexible and dynamic compromises for effective recommendations
10.1145/2505515.2507893,2013,Origins (<=2017),conversational,preference,instrumental,Flexible and dynamic compromises for effective recommendations
10.1007/s10257-013-0222-3,2014,Origins (<=2017),conversational,learn,instrumental,Dynamic personalization in conversational recommender systems
10.1166/asl.2016.7770,2016,Origins (<=2017),conversational,feature,instrumental,Compound critiquing for conversational recommender system based on functional re
10.1145/2959100.2959114,2016,Origins (<=2017),conversational,learning,instrumental,Conversational recommendation system with unsupervised learning
10.1145/2959100.2959114,2016,Origins (<=2017),conversational,learning,instrumental,Conversational recommendation system with unsupervised learning
10.1145/3127325.3127331,2017,Origins (<=2017),interaction,policy,instrumental,Chatbots as conversational recommender systems in urban contexts
10.1007/978-3-319-70169-1_28,2017,Origins (<=2017),conversational,learning,instrumental,Converse-et-impera: Exploiting deep learning and hierarchical reinforcement lear
10.1007/978-3-319-70169-1_28,2017,Origins (<=2017),conversational,learning,instrumental,Converse-et-impera: Exploiting deep learning and hierarchical reinforcement lear
10.1007/978-3-319-70169-1_28,2017,Origins (<=2017),dialogue,learning,instrumental,Converse-et-impera: Exploiting deep learning and hierarchical reinforcement lear
10.1007/978-3-319-70169-1_28,2017,Origins (<=2017),conversational,learning,instrumental,Converse-et-impera: Exploiting deep learning and hierarchical reinforcement lear
10.1016/j.patrec.2017.06.011,2017,Origins (<=2017),dialogue,preference,instrumental,Recognizing users feedback from non-verbal communicative acts in conversational 
10.1016/j.patrec.2017.06.011,2017,Origins (<=2017),conversational,feedback,instrumental,Recognizing users feedback from non-verbal communicative acts in conversational 
10.1145/3267851.3267916,2018,Neural turn (2018-2022),conversational,simulator,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3267851.3267916,2018,Neural turn (2018-2022),conversational,learning,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3267851.3267916,2018,Neural turn (2018-2022),dialog,data,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3267851.3267916,2018,Neural turn (2018-2022),dialog,optimization,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3267851.3267916,2018,Neural turn (2018-2022),conversational,simulator,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3267851.3267916,2018,Neural turn (2018-2022),conversational,simulator,instrumental,A user simulator architecture for socially-aware conversational agents
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,learn,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,optimize,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,query,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,rating,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,prediction,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,rating,instrumental,Conversational recommender system
10.1145/3209978.3210002,2018,Neural turn (2018-2022),conversational,prediction,instrumental,Conversational recommender system
10.3233/IA-170031,2018,Neural turn (2018-2022),conversational,learning,instrumental,Deep Learning and Hierarchical Reinforcement Learning for modeling a Conversatio
10.3233/IA-170031,2018,Neural turn (2018-2022),conversational,model,instrumental,Deep Learning and Hierarchical Reinforcement Learning for modeling a Conversatio
10.3233/IA-170031,2018,Neural turn (2018-2022),dialogue,learning,instrumental,Deep Learning and Hierarchical Reinforcement Learning for modeling a Conversatio
10.3233/IA-170031,2018,Neural turn (2018-2022),conversational,learning,instrumental,Deep Learning and Hierarchical Reinforcement Learning for modeling a Conversatio
10.1145/3219819.3219894,2018,Neural turn (2018-2022),interaction,elicit,instrumental,Q&R: A two-stage approach toward interactive recommendation
Towards deep conversational recommendations,2018,Neural turn (2018-2022),dialogue,learning,instrumental,Towards deep conversational recommendations
10.1145/3349537.3351899,2019,Neural turn (2018-2022),conversational,model,instrumental,A model of social explanations for a conversational movie recommendation system
10.1145/3349537.3351899,2019,Neural turn (2018-2022),interaction,model,instrumental,A model of social explanations for a conversational movie recommendation system
10.1145/3349537.3351899,2019,Neural turn (2018-2022),conversational,model,instrumental,A model of social explanations for a conversational movie recommendation system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),conversational,preference,instrumental,Preference elicitation strategy for conversational recommender system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),conversational,elicitation,instrumental,Preference elicitation strategy for conversational recommender system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),conversational,elicitation,instrumental,Preference elicitation strategy for conversational recommender system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),dialogue,preference,instrumental,Preference elicitation strategy for conversational recommender system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),conversational,preference,instrumental,Preference elicitation strategy for conversational recommender system
10.1145/3289600.3291604,2019,Neural turn (2018-2022),conversational,elicitation,instrumental,Preference elicitation strategy for conversational recommender system
10.1007/978-3-030-22999-3_67,2019,Neural turn (2018-2022),chat,preference,instrumental,Using model-based reasoning for enhanced chatbot communication
10.1145/3406499.3415079,2020,Neural turn (2018-2022),dialogue,rapport,interactional,A Socially-Aware Conversational Recommender System for Personalized Recipe Recom
10.1016/j.eswa.2020.113449,2020,Neural turn (2018-2022),conversation,preference,instrumental,A conversational recommender system for diagnosis using fuzzy rules
10.1016/j.eswa.2020.113449,2020,Neural turn (2018-2022),conversational,elicitation,instrumental,A conversational recommender system for diagnosis using fuzzy rules
10.1016/j.eswa.2020.113449,2020,Neural turn (2018-2022),conversation,feedback,instrumental,A conversational recommender system for diagnosis using fuzzy rules
